driver_id,month,avg_speed,overspeed_rate,incident_rate,safety_score
D018,2024-01,38.7,2.67,1.77,66
D018,2024-02,68.5,4.41,1.8,74
D017,2024-03,77.4,0.41,1.19,80
D003,2024-04,38.3,4.12,0.71,78
D003,2024-05,68.5,1.79,0.7,88
D006,2024-06,65.4,1.61,2.65,84
D013,2024-07,53.7,4.89,1.33,92
D015,2024-08,32.9,1.0,0.99,91
D009,2024-09,33.7,3.47,1.35,94
D004,2024-10,72.6,4.11,2.01,97
D014,2024-11,79.5,0.21,0.44,85
D005,2024-12,63.8,3.35,1.35,70
D002,2025-01,52.3,4.76,1.76,94
D011,2025-02,62.4,0.62,2.85,67
D009,2025-03,59.7,4.48,0.76,73
D003,2025-04,49.2,2.97,1.08,69
D009,2025-05,33.3,3.08,1.14,61
D003,2025-06,71.1,3.06,1.82,68
D002,2025-07,48.6,1.49,1.07,62
D012,2025-08,70.9,4.68,1.6,80
D010,2025-09,42.6,4.74,2.35,85
D009,2025-10,30.1,3.13,2.12,67
D015,2025-11,37.9,3.92,1.34,61
D008,2025-12,53.4,3.06,2.59,65
D005,2026-01,77.2,2.42,1.67,87
D011,2026-02,35.1,3.3,1.62,88
D002,2026-03,72.7,2.77,0.1,85
D015,2026-04,56.4,2.99,2.96,84
D006,2026-05,71.3,3.92,0.37,71
D008,2026-06,44.9,2.4,0.69,64
D005,2026-07,72.0,0.2,0.16,93
D016,2026-08,68.6,0.82,1.92,96
D018,2026-09,41.5,2.19,0.67,74
D006,2026-10,36.6,3.62,0.54,95
D005,2026-11,73.4,2.97,0.27,74
D016,2026-12,78.2,3.25,0.31,82
D013,2027-01,31.6,2.4,1.75,65
D005,2027-02,66.6,3.08,2.06,80
D013,2027-03,75.5,1.65,1.19,82
D017,2027-04,72.9,2.35,1.44,75
D018,2027-05,78.2,3.72,2.06,74
D008,2027-06,68.0,4.36,0.05,84
D013,2027-07,52.1,2.17,0.97,95
D019,2027-08,45.6,0.22,2.92,70
D003,2027-09,46.0,0.81,1.74,74
D008,2027-10,66.2,0.1,0.76,63
D002,2027-11,67.3,3.27,1.57,80
D008,2027-12,40.0,1.66,1.03,72
D013,2028-01,73.4,2.71,1.6,81
D013,2028-02,65.7,2.47,0.38,78
D001,2028-03,58.1,0.41,0.4,93
D006,2028-04,53.6,2.02,0.43,73
D019,2028-05,57.2,1.1,2.82,63
D016,2028-06,38.0,2.09,2.2,86
D008,2028-07,40.2,1.02,0.49,88
D001,2028-08,34.6,4.2,0.57,87
D016,2028-09,37.7,0.87,2.19,94
D009,2028-10,52.7,4.8,0.47,67
D013,2028-11,56.5,2.08,0.7,75
D011,2028-12,30.9,4.23,2.89,95
D013,2029-01,69.8,3.14,0.77,89
D010,2029-02,44.7,3.68,1.98,77
D004,2029-03,75.6,3.84,2.94,61
D006,2029-04,78.4,2.52,1.12,72
D007,2029-05,39.3,2.72,0.05,63
D005,2029-06,53.1,2.57,0.73,85
D011,2029-07,30.1,2.94,2.49,84
D013,2029-08,59.9,0.15,2.59,89
D019,2029-09,60.4,1.98,2.31,70
D010,2029-10,42.4,3.03,0.34,66
D010,2029-11,57.9,2.99,2.39,90
D011,2029-12,41.3,3.96,2.76,69
D007,2030-01,38.0,3.28,1.8,98
D018,2030-02,62.6,4.96,2.82,72
D004,2030-03,46.3,1.42,2.48,90
D002,2030-04,59.5,1.8,2.0,66
D014,2030-05,51.7,1.92,1.73,95
D013,2030-06,79.2,2.33,1.05,79
D012,2030-07,37.5,4.18,0.48,63
D007,2030-08,53.2,1.18,1.81,66
D002,2030-09,64.0,3.88,0.95,60
D013,2030-10,49.8,2.03,2.6,72
D014,2030-11,78.7,3.01,2.98,81
D017,2030-12,66.1,3.16,2.26,80
D009,2031-01,62.8,1.86,0.27,81
D017,2031-02,67.9,2.56,0.87,87
D008,2031-03,77.6,2.07,0.33,68
D002,2031-04,75.4,0.35,1.95,85
D013,2031-05,66.2,2.19,2.3,68
D003,2031-06,67.5,0.49,2.78,74
D016,2031-07,37.3,2.03,1.31,69
D006,2031-08,35.1,2.96,2.7,83
D019,2031-09,58.5,2.9,2.63,67
D007,2031-10,30.9,3.31,0.95,83
D010,2031-11,54.1,0.48,2.61,75
D009,2031-12,40.5,3.26,1.13,85
D002,2032-01,47.3,1.56,0.89,86
D015,2032-02,68.8,2.0,1.95,96
D005,2032-03,77.1,4.29,0.99,63
D004,2032-04,33.6,0.05,1.89,83
