trip_id,route_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,duration_min,route_deviation_flag,over_speed_events,harsh_brakes,rapid_accelerations,idle_time_min,fuel_used_liters,start_region,end_region,trip_status
T0001,R0001,D004,V004,2024-01-01 00:00:00,2024-01-01 01:00:00,Fernandezland,Lake Markfort,112,289,1,0,2,0,11,48.64,,,Completed
T0002,R0002,D001,V009,2024-01-01 01:00:00,2024-01-01 02:00:00,Parkerchester,South Margaret,445,290,0,2,2,1,24,6.94,,,Completed
T0003,R0003,D009,V009,2024-01-01 02:00:00,2024-01-01 03:00:00,Erictown,New Dawnton,358,234,0,2,2,2,51,45.1,,,Completed
T0004,R0004,D008,V005,2024-01-01 03:00:00,2024-01-01 04:00:00,New Lisaberg,Millerton,280,271,0,2,1,1,58,28.75,,,Completed
T0005,R0005,D008,V010,2024-01-01 04:00:00,2024-01-01 05:00:00,Justinside,Michaelchester,116,209,1,3,1,1,20,49.68,,,In Progress
T0006,R0006,D005,V007,2024-01-01 05:00:00,2024-01-01 06:00:00,Lake Sandrafort,Conradville,81,232,1,0,2,2,35,8.32,,,Completed
T0007,R0007,D004,V010,2024-01-01 06:00:00,2024-01-01 07:00:00,Albertchester,Lake Denise,198,227,1,3,2,1,52,29.92,,,In Progress
T0008,R0008,D018,V007,2024-01-01 07:00:00,2024-01-01 08:00:00,Carlatown,Lake Kimberlyfurt,30,256,1,2,1,0,22,48.62,,,Completed
T0009,R0009,D003,V006,2024-01-01 08:00:00,2024-01-01 09:00:00,Jacobside,West Alicemouth,112,72,0,0,2,0,15,28.54,,,Completed
T0010,R0010,D019,V004,2024-01-01 09:00:00,2024-01-01 10:00:00,Fosterburgh,West Wayne,131,299,0,3,0,0,56,33.32,,,Completed
T0011,R0011,D014,V003,2024-01-01 10:00:00,2024-01-01 11:00:00,Claytonbury,East Brent,476,236,1,3,1,2,38,36.31,,,Completed
T0012,R0012,D002,V009,2024-01-01 11:00:00,2024-01-01 12:00:00,Christianbury,Maddoxshire,224,271,0,2,2,1,44,25.45,,,Completed
T0013,R0013,D001,V008,2024-01-01 12:00:00,2024-01-01 13:00:00,Justinside,East Ryanfurt,340,207,0,0,1,0,52,33.24,,,Completed
T0014,R0014,D003,V002,2024-01-01 13:00:00,2024-01-01 14:00:00,Robertland,East Matthew,468,60,0,2,0,2,41,31.29,,,Completed
T0015,R0015,D007,V001,2024-01-01 14:00:00,2024-01-01 15:00:00,East Keith,Duncanton,97,176,1,0,1,1,57,45.55,,,Completed
T0016,R0016,D008,V002,2024-01-01 15:00:00,2024-01-01 16:00:00,Williamsonview,Bakerfurt,382,34,1,4,1,2,38,7.05,,,Completed
T0017,R0017,D017,V003,2024-01-01 16:00:00,2024-01-01 17:00:00,Lopeztown,Ayalaberg,109,84,0,1,1,0,13,17.64,,,Completed
T0018,R0018,D020,V003,2024-01-01 17:00:00,2024-01-01 18:00:00,North Tara,South Anita,369,28,1,1,1,0,30,47.77,,,Completed
T0019,R0019,D001,V007,2024-01-01 18:00:00,2024-01-01 19:00:00,East Teresaport,Fostershire,161,148,1,1,0,0,57,45.06,,,In Progress
T0020,R0020,D018,V010,2024-01-01 19:00:00,2024-01-01 20:00:00,Davidmouth,New Christina,140,155,1,2,1,2,4,25.5,,,Completed
T0021,R0021,D007,V002,2024-01-01 20:00:00,2024-01-01 21:00:00,East Christophertown,East Charles,159,82,1,4,1,2,34,32.91,,,In Progress
T0022,R0022,D018,V007,2024-01-01 21:00:00,2024-01-01 22:00:00,Robinsonchester,Morrisshire,318,158,1,0,2,0,22,17.48,,,Completed
T0023,R0023,D014,V007,2024-01-01 22:00:00,2024-01-01 23:00:00,Kristifort,North Emilychester,267,100,0,3,1,2,28,13.47,,,Completed
T0024,R0024,D008,V010,2024-01-01 23:00:00,2024-01-02 00:00:00,Steventon,Michaelmouth,353,182,1,0,2,0,42,25.87,,,Completed
T0025,R0025,D015,V008,2024-01-02 00:00:00,2024-01-02 01:00:00,Christopherberg,Brittneytown,423,280,0,3,0,0,10,20.9,,,Cancelled
T0026,R0026,D019,V009,2024-01-02 01:00:00,2024-01-02 02:00:00,West Kimberlyland,Garystad,303,250,0,0,0,1,17,31.26,,,Completed
T0027,R0027,D009,V005,2024-01-02 02:00:00,2024-01-02 03:00:00,Whiteview,Hansonmouth,395,60,1,4,0,2,46,8.5,,,Completed
T0028,R0028,D001,V009,2024-01-02 03:00:00,2024-01-02 04:00:00,Claytonville,Port Jesusstad,201,47,0,3,0,0,11,48.85,,,Completed
T0029,R0029,D006,V001,2024-01-02 04:00:00,2024-01-02 05:00:00,South Kelsey,Port Jessica,453,154,0,2,2,0,8,49.38,,,In Progress
T0030,R0030,D014,V002,2024-01-02 05:00:00,2024-01-02 06:00:00,Wrightton,North Jodibury,286,220,0,0,1,2,9,36.42,,,Completed
T0031,R0031,D011,V009,2024-01-02 06:00:00,2024-01-02 07:00:00,South Jill,Port Marissa,170,287,1,0,0,1,57,29.12,,,In Progress
T0032,R0032,D009,V005,2024-01-02 07:00:00,2024-01-02 08:00:00,New Elizabethborough,Alexanderville,469,52,1,3,1,1,43,18.93,,,In Progress
T0033,R0033,D005,V006,2024-01-02 08:00:00,2024-01-02 09:00:00,Priceport,Shannontown,323,67,0,2,2,0,16,41.62,,,Completed
T0034,R0034,D007,V002,2024-01-02 09:00:00,2024-01-02 10:00:00,Ericton,Jasonside,31,81,1,2,2,2,37,35.81,,,Cancelled
T0035,R0035,D011,V005,2024-01-02 10:00:00,2024-01-02 11:00:00,West Timothyport,East Amy,262,235,1,4,2,1,6,12.32,,,Completed
T0036,R0036,D004,V007,2024-01-02 11:00:00,2024-01-02 12:00:00,West Paige,Anaberg,245,118,1,2,0,2,45,45.99,,,Completed
T0037,R0037,D003,V003,2024-01-02 12:00:00,2024-01-02 13:00:00,North Joel,South Brandyhaven,354,191,1,2,1,2,12,42.01,,,In Progress
T0038,R0038,D013,V008,2024-01-02 13:00:00,2024-01-02 14:00:00,Nguyenburgh,West Georgeport,58,233,0,2,1,0,39,47.74,,,Completed
T0039,R0039,D004,V001,2024-01-02 14:00:00,2024-01-02 15:00:00,Brendafurt,Port Heather,484,54,0,1,1,1,41,37.66,,,In Progress
T0040,R0040,D012,V005,2024-01-02 15:00:00,2024-01-02 16:00:00,North Tanya,Briantown,68,246,1,4,2,0,8,32.6,,,Completed
T0041,R0041,D012,V009,2024-01-02 16:00:00,2024-01-02 17:00:00,Barkerberg,South Donnastad,179,120,1,0,0,1,49,23.82,,,In Progress
T0042,R0042,D020,V003,2024-01-02 17:00:00,2024-01-02 18:00:00,Kellibury,North Kellyfurt,485,150,0,3,2,1,26,46.97,,,Completed
T0043,R0043,D009,V009,2024-01-02 18:00:00,2024-01-02 19:00:00,South Christopher,South William,197,276,0,0,2,1,57,43.97,,,Completed
T0044,R0044,D002,V002,2024-01-02 19:00:00,2024-01-02 20:00:00,Sarahton,West Toddside,473,24,1,4,1,1,1,7.03,,,Completed
T0045,R0045,D015,V005,2024-01-02 20:00:00,2024-01-02 21:00:00,West Deannaside,East Jamesmouth,280,237,0,3,2,1,4,6.19,,,Completed
T0046,R0046,D018,V009,2024-01-02 21:00:00,2024-01-02 22:00:00,East Tonymouth,North Johnhaven,199,274,1,4,1,2,28,21.94,,,Completed
T0047,R0047,D004,V010,2024-01-02 22:00:00,2024-01-02 23:00:00,Lindamouth,Matthewfurt,455,226,1,2,0,0,36,41.47,,,Completed
T0048,R0048,D013,V004,2024-01-02 23:00:00,2024-01-03 00:00:00,North Hannah,North Michael,184,34,0,3,1,2,37,49.43,,,Completed
T0049,R0049,D003,V003,2024-01-03 00:00:00,2024-01-03 01:00:00,Jenniferview,Michaelport,455,61,0,2,0,1,18,11.77,,,Completed
T0050,R0050,D018,V006,2024-01-03 01:00:00,2024-01-03 02:00:00,South Jasmineside,New Joshua,60,198,1,0,1,0,7,31.74,,,Completed
T0051,R0051,D010,V003,2024-01-03 02:00:00,2024-01-03 03:00:00,Amyfort,Lake Jonathanfurt,373,82,1,0,2,1,47,22.14,,,Completed
T0052,R0052,D020,V009,2024-01-03 03:00:00,2024-01-03 04:00:00,New Jacob,New Stacybury,64,250,0,3,2,0,44,48.65,,,Completed
T0053,R0053,D012,V009,2024-01-03 04:00:00,2024-01-03 05:00:00,Mariomouth,West Penny,253,260,1,3,0,2,0,42.9,,,Completed
T0054,R0054,D019,V001,2024-01-03 05:00:00,2024-01-03 06:00:00,Mikaylaside,North Jessica,329,71,0,4,0,0,21,42.72,,,In Progress
T0055,R0055,D007,V010,2024-01-03 06:00:00,2024-01-03 07:00:00,North Amanda,South John,140,115,1,4,0,0,51,26.09,,,Completed
T0056,R0056,D003,V006,2024-01-03 07:00:00,2024-01-03 08:00:00,Phillipsview,South Tara,494,241,0,2,1,0,16,23.67,,,Completed
T0057,R0057,D002,V008,2024-01-03 08:00:00,2024-01-03 09:00:00,Shawnhaven,Shaneberg,316,250,0,3,1,0,6,17.3,,,Completed
T0058,R0058,D008,V001,2024-01-03 09:00:00,2024-01-03 10:00:00,Grosstown,Lake Dillon,144,256,0,0,0,0,24,7.54,,,In Progress
T0059,R0059,D010,V002,2024-01-03 10:00:00,2024-01-03 11:00:00,Kimberlybury,Port Devin,30,162,1,4,2,1,44,43.91,,,Completed
T0060,R0060,D003,V006,2024-01-03 11:00:00,2024-01-03 12:00:00,Jenniferside,South Wendy,338,190,1,4,1,0,3,41.58,,,Completed
T0061,R0061,D008,V005,2024-01-03 12:00:00,2024-01-03 13:00:00,Leefort,Lake Sarah,176,48,0,0,1,0,35,49.99,,,Cancelled
T0062,R0062,D004,V004,2024-01-03 13:00:00,2024-01-03 14:00:00,New Justin,West Carlos,283,55,1,4,1,2,5,49.85,,,Completed
T0063,R0063,D013,V001,2024-01-03 14:00:00,2024-01-03 15:00:00,Davidsonville,East Lonnieberg,397,32,0,2,0,0,59,29.99,,,Completed
T0064,R0064,D009,V004,2024-01-03 15:00:00,2024-01-03 16:00:00,New Donnaton,Port Lucaschester,98,179,0,3,0,2,30,39.6,,,Completed
T0065,R0065,D015,V010,2024-01-03 16:00:00,2024-01-03 17:00:00,East Morgan,Turnerview,325,206,1,0,0,1,18,47.51,,,In Progress
T0066,R0066,D012,V002,2024-01-03 17:00:00,2024-01-03 18:00:00,North Todd,Port Jacob,23,262,1,3,0,0,43,43.23,,,In Progress
