route_id,start_location,end_location,expected_distance_km,expected_duration_min,avg_fuel_consumed_liters,route_type,risk_score
R001,Madison,Indianapolis,502,537,48.16,Highway,91
R002,St. Louis,Chicago,708,119,40.16,Urban,7
R003,Cleveland,Cleveland,565,457,49.28,Rural,33
R004,Madison,Indianapolis,596,420,54.67,Urban,34
R005,Detroit,St. Louis,241,464,38.95,Urban,95
R006,Cleveland,St. Louis,98,321,58.93,Urban,87
R007,Cleveland,St. Louis,561,438,38.44,Urban,77
R008,Madison,St. Louis,66,501,40.02,Highway,31
R009,Milwaukee,St. Louis,221,236,35.51,Highway,45
R010,Detroit,Indianapolis,269,143,10.01,Urban,15
R011,Madison,Indianapolis,207,592,44.95,Rural,67
R012,Detroit,Detroit,526,140,35.11,Rural,36
R013,Detroit,Milwaukee,95,234,29.8,Rural,53
R014,Cleveland,Madison,422,81,55.08,Rural,84
R015,St. Louis,St. Louis,567,413,21.39,Urban,13
R016,Detroit,Chicago,148,569,33.8,Highway,94
R017,Indianapolis,Madison,794,323,43.37,Rural,54
R018,Cleveland,Indianapolis,86,261,48.81,Urban,47
R019,Milwaukee,Chicago,329,317,30.26,Rural,81
R020,St. Louis,Chicago,398,106,51.32,Rural,6
R021,Indianapolis,Chicago,546,386,47.29,Urban,73
R022,Indianapolis,Detroit,351,441,8.64,Highway,6
R023,Milwaukee,Indianapolis,230,63,7.52,Highway,32
R024,St. Louis,Chicago,656,221,39.14,Urban,22
R025,Cleveland,St. Louis,148,440,24.11,Highway,84
R026,Chicago,Cleveland,749,489,16.5,Urban,18
R027,St. Louis,Chicago,165,277,36.88,Urban,18
R028,Milwaukee,Detroit,240,120,23.79,Urban,35
R029,Indianapolis,Madison,302,309,34.55,Highway,28
R030,Cleveland,Indianapolis,210,499,30.31,Urban,59
R031,St. Louis,Detroit,305,428,37.16,Rural,81
R032,Chicago,Chicago,372,550,27.02,Highway,1
R033,Chicago,Indianapolis,177,411,43.37,Highway,0
R034,Detroit,Cleveland,67,188,14.9,Highway,46
R035,Detroit,Chicago,784,113,43.31,Highway,68
R036,Madison,Detroit,615,143,27.64,Rural,19
R037,Milwaukee,Milwaukee,619,440,53.09,Highway,10
R038,St. Louis,St. Louis,372,69,33.34,Highway,1
R039,St. Louis,Madison,735,513,58.52,Urban,66
R040,Madison,Detroit,675,528,38.11,Highway,86
R041,Indianapolis,Indianapolis,337,195,17.31,Rural,11
R042,Indianapolis,Chicago,712,188,50.2,Rural,19
R043,Madison,St. Louis,688,83,23.98,Rural,4
R044,Indianapolis,Chicago,204,153,24.12,Rural,36
R045,Detroit,Indianapolis,539,86,6.75,Highway,37
R046,St. Louis,Chicago,435,230,35.18,Highway,93
R047,Madison,Milwaukee,153,442,34.39,Rural,8
R048,St. Louis,St. Louis,442,267,24.58,Rural,97
R049,Chicago,St. Louis,295,177,54.18,Highway,52
R050,Detroit,Indianapolis,225,207,12.08,Rural,43
R051,Cleveland,Madison,88,259,23.16,Urban,98
R052,Detroit,Milwaukee,526,279,22.69,Rural,85
R053,Madison,Detroit,731,53,10.08,Rural,23
R054,Cleveland,Chicago,587,118,31.46,Urban,80
R055,Chicago,Cleveland,457,536,42.83,Urban,73
R056,Madison,Chicago,574,297,33.14,Highway,29
R057,Milwaukee,Chicago,555,274,13.63,Highway,58
R058,St. Louis,Detroit,85,563,25.75,Urban,86
R059,Chicago,Chicago,734,218,5.14,Urban,95
R060,St. Louis,Milwaukee,69,212,52.76,Highway,80
R061,Indianapolis,Milwaukee,370,214,9.65,Rural,80
R062,Milwaukee,St. Louis,561,437,37.85,Urban,13
R063,Milwaukee,Indianapolis,449,238,59.24,Highway,8
R064,Chicago,Madison,703,561,34.51,Rural,39
R065,Milwaukee,Cleveland,520,73,55.82,Urban,65
R066,Cleveland,Chicago,192,209,17.99,Rural,24
R067,Milwaukee,Chicago,141,466,46.8,Highway,72
R068,St. Louis,Detroit,403,383,34.22,Urban,21
R069,St. Louis,Indianapolis,776,540,44.63,Rural,3
R070,Madison,Milwaukee,100,409,8.43,Urban,25
R071,St. Louis,Cleveland,714,386,13.13,Rural,57
R072,Madison,St. Louis,747,544,12.32,Highway,28
R073,St. Louis,Milwaukee,624,555,42.79,Highway,97
R074,Cleveland,Indianapolis,239,371,51.44,Urban,86
R075,Madison,Madison,174,261,46.23,Rural,36
R076,Detroit,St. Louis,199,345,6.68,Urban,74
R077,Indianapolis,Madison,363,176,52.7,Urban,69
R078,Chicago,Detroit,619,114,24.48,Rural,17
R079,St. Louis,Detroit,391,296,26.84,Rural,84
R080,Milwaukee,Chicago,354,459,10.77,Rural,41
R081,St. Louis,Madison,741,489,45.56,Highway,99
R082,Milwaukee,Indianapolis,731,226,15.03,Urban,40
R083,Indianapolis,Cleveland,103,211,36.02,Urban,37
R084,Indianapolis,St. Louis,493,135,51.24,Highway,33
R085,Indianapolis,Milwaukee,662,575,9.91,Rural,16
R086,Milwaukee,Indianapolis,313,83,34.44,Highway,36
R087,St. Louis,Indianapolis,102,170,17.83,Highway,24
R088,Indianapolis,Detroit,621,495,23.86,Highway,75
R089,Cleveland,Madison,669,217,31.07,Urban,86
R090,Madison,Chicago,54,264,24.53,Highway,85
R091,Milwaukee,Chicago,152,102,40.69,Urban,84
R092,Milwaukee,St. Louis,245,520,31.38,Urban,26
R093,St. Louis,Detroit,399,500,37.13,Urban,56
R094,Milwaukee,Indianapolis,96,405,45.53,Rural,30
R095,Milwaukee,Cleveland,705,45,35.68,Urban,5
R096,Indianapolis,Detroit,318,431,37.26,Urban,90
R097,St. Louis,St. Louis,419,392,36.05,Rural,39
R098,Indianapolis,St. Louis,685,234,25.83,Urban,97
R099,Madison,Detroit,155,549,23.56,Highway,11
R100,Madison,St. Louis,719,235,54.48,Highway,52
R101,Indianapolis,Detroit,708,552,38.42,Urban,70
R102,Madison,Milwaukee,706,413,18.44,Rural,9
R103,St. Louis,Detroit,169,453,32.4,Highway,44
R104,Chicago,Madison,653,161,23.17,Rural,16
R105,Indianapolis,Detroit,107,178,56.35,Rural,25
R106,Cleveland,St. Louis,395,102,5.41,Highway,84
R107,Cleveland,Madison,790,217,17.39,Rural,91
R108,Milwaukee,St. Louis,523,193,25.09,Highway,61
R109,Madison,Chicago,166,124,31.83,Rural,45
R110,Cleveland,Chicago,176,257,51.79,Highway,63
R111,Milwaukee,Madison,442,247,9.83,Urban,1
R112,Chicago,Milwaukee,690,273,49.32,Highway,53
R113,St. Louis,Chicago,107,271,8.06,Highway,64
R114,St. Louis,Detroit,683,576,51.33,Highway,50
R115,St. Louis,St. Louis,562,485,7.84,Highway,52
R116,Cleveland,Chicago,145,446,6.0,Rural,35
R117,Chicago,Chicago,687,91,43.33,Urban,25
R118,Cleveland,Milwaukee,167,277,59.85,Highway,28
R119,Madison,Madison,609,349,54.31,Rural,20
R120,Cleveland,Madison,650,570,36.68,Urban,10
R121,Chicago,Indianapolis,537,187,55.46,Urban,39
R122,Chicago,Milwaukee,286,459,5.29,Urban,10
R123,Madison,Detroit,321,557,58.63,Urban,35
R124,Chicago,Madison,238,417,31.99,Highway,58
R125,Chicago,St. Louis,753,303,44.76,Highway,38
R126,St. Louis,Milwaukee,496,515,50.15,Rural,98
R127,Madison,Chicago,630,56,44.52,Rural,53
R128,Detroit,St. Louis,296,374,34.43,Rural,97
R129,Detroit,St. Louis,125,402,31.21,Urban,54
R130,Chicago,Chicago,203,452,51.12,Urban,23
R131,Detroit,Milwaukee,705,417,16.28,Highway,21
R132,Detroit,Chicago,484,52,58.24,Urban,68
R133,Chicago,Indianapolis,135,166,44.1,Urban,55
R134,Detroit,St. Louis,746,392,15.97,Urban,32
R135,Cleveland,Cleveland,334,134,45.49,Rural,35
