trip_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,duration_min,route_deviation_flag,over_speed_events,harsh_brakes,rapid_accelerations,idle_time_min,fuel_used_liters
T0001,D004,V004,2024-01-01 00:00:00,2024-01-01 01:00:00,Fernandezland,Lake Markfort,112,289,1,0,2,0,11,48.64
T0002,D001,V009,2024-01-01 01:00:00,2024-01-01 02:00:00,Parkerchester,South Margaret,445,290,0,2,2,1,24,6.94
T0003,D009,V009,2024-01-01 02:00:00,2024-01-01 03:00:00,Erictown,New Dawnton,358,234,0,2,2,2,51,45.1
T0004,D008,V005,2024-01-01 03:00:00,2024-01-01 04:00:00,New Lisaberg,Millerton,280,271,0,2,1,1,58,28.75
T0005,D008,V010,2024-01-01 04:00:00,2024-01-01 05:00:00,Justinside,Michaelchester,116,209,1,3,1,1,20,49.68
T0006,D005,V007,2024-01-01 05:00:00,2024-01-01 06:00:00,Lake Sandrafort,Conradville,81,232,1,0,2,2,35,8.32
T0007,D004,V010,2024-01-01 06:00:00,2024-01-01 07:00:00,Albertchester,Lake Denise,198,227,1,3,2,1,52,29.92
T0008,D018,V007,2024-01-01 07:00:00,2024-01-01 08:00:00,Carlatown,Lake Kimberlyfurt,30,256,1,2,1,0,22,48.62
T0009,D003,V006,2024-01-01 08:00:00,2024-01-01 09:00:00,Jacobside,West Alicemouth,112,72,0,0,2,0,15,28.54
T0010,D019,V004,2024-01-01 09:00:00,2024-01-01 10:00:00,Fosterburgh,West Wayne,131,299,0,3,0,0,56,33.32
T0011,D014,V003,2024-01-01 10:00:00,2024-01-01 11:00:00,Claytonbury,East Brent,476,236,1,3,1,2,38,36.31
T0012,D002,V009,2024-01-01 11:00:00,2024-01-01 12:00:00,Christianbury,Maddoxshire,224,271,0,2,2,1,44,25.45
T0013,D001,V008,2024-01-01 12:00:00,2024-01-01 13:00:00,Justinside,East Ryanfurt,340,207,0,0,1,0,52,33.24
T0014,D003,V002,2024-01-01 13:00:00,2024-01-01 14:00:00,Robertland,East Matthew,468,60,0,2,0,2,41,31.29
T0015,D007,V001,2024-01-01 14:00:00,2024-01-01 15:00:00,East Keith,Duncanton,97,176,1,0,1,1,57,45.55
T0016,D008,V002,2024-01-01 15:00:00,2024-01-01 16:00:00,Williamsonview,Bakerfurt,382,34,1,4,1,2,38,7.05
T0017,D017,V003,2024-01-01 16:00:00,2024-01-01 17:00:00,Lopeztown,Ayalaberg,109,84,0,1,1,0,13,17.64
T0018,D020,V003,2024-01-01 17:00:00,2024-01-01 18:00:00,North Tara,South Anita,369,28,1,1,1,0,30,47.77
T0019,D001,V007,2024-01-01 18:00:00,2024-01-01 19:00:00,East Teresaport,Fostershire,161,148,1,1,0,0,57,45.06
T0020,D018,V010,2024-01-01 19:00:00,2024-01-01 20:00:00,Davidmouth,New Christina,140,155,1,2,1,2,4,25.5
T0021,D007,V002,2024-01-01 20:00:00,2024-01-01 21:00:00,East Christophertown,East Charles,159,82,1,4,1,2,34,32.91
T0022,D018,V007,2024-01-01 21:00:00,2024-01-01 22:00:00,Robinsonchester,Morrisshire,318,158,1,0,2,0,22,17.48
